date,temp_avg,temp_min,temp_max,humidity_avg,precip_mm,heatwave_days,tropical_nights,sunshine_hours,solar_radiation,violent_cnt,heinous_cnt,property_cnt,unemp_rate,total_pop,working_pop,heat_index,covid_dummy,violent_rate_total,heinous_rate_total,property_rate_total,violent_rate_working,heinous_rate_working,property_rate_working,holiday_cnt
2014-01-01,0.2,-5.2,6.0,58,10.3,0.0,0.0,203.1,266.98,17491,2112,51075,3.4,51156168,37465935,37.882639999999995,0,34.19138040206608,4.128534412507207,99.84133291610115,46.68507538915017,5.637120760498837,136.32383657314304,3
2014-02-01,2.3,-2.5,7.7,63,26.9,0.0,0.0,148.2,275.15,15338,2027,44165,4.2,51171176,37470554,40.15380999999999,0,29.973905622180737,3.961214414927654,86.30835453146514,40.933475389768724,5.409581080653358,117.86588476914433,1
2014-03-01,7.5,1.8,13.4,61,77.1,0.0,0.0,213.4,426.18,19970,2932,53869,4.0,51185882,37479078,47.760349999999995,0,39.0146642388618,5.728141990402745,105.24191025955164,53.2830610187369,7.8230312922852585,143.73085698639653,1
2014-04-01,13.1,7.2,19.7,59,84.4,0.0,0.0,213.7,501.62,19628,3267,51321,4.0,51202130,37491342,55.71861,0,38.33434273144496,6.380593932322737,100.23215831060153,52.3534206911025,8.71401189106541,136.88760461015238,0
2014-05-01,18.2,11.9,24.9,60,59.9,1.1,0.0,293.2,692.19,22794,3481,55008,3.7,51218424,37500305,62.8588,0,44.503516937577,6.796382489238638,107.398853193921,60.783505627487564,9.282591168258499,146.6868069473035,2
2014-06-01,21.6,17.7,26.6,74,80.7,0.2,0.0,174.0,513.95,21489,3301,53609,3.7,51233579,37510721,68.52756,0,41.943195106474995,6.443040022638278,104.63645336977142,57.28762185083033,8.800150762231416,142.91647446605998,2
2014-07-01,24.8,21.1,29.6,78,154.8,4.5,2.1,182.3,504.77,21241,3730,56649,3.6,51250261,37509977,73.84636,0,41.44564258902018,7.2780117158817985,110.53407123136408,56.627600704740495,9.94402102672577,151.02381960938018,0
2014-08-01,23.6,20.6,27.6,83,373.1,0.9,0.8,126.9,381.85,21032,3643,54485,3.5,51266779,37514545,72.36642,0,41.02461752083157,7.1059662242482595,106.27740041948023,56.06358813628154,9.710900132202058,145.23700074197887,1
2014-09-01,20.6,16.1,26.3,77,119.4,0.0,0.0,201.8,432.4,20465,3064,52786,3.3,51284774,37522630,67.14708,0,39.904631343408084,5.97448279678487,102.92723528429704,54.540420007872584,8.165738915422507,140.67777232033043,4
2014-10-01,14.5,9.1,21.0,73,120.8,0.0,0.0,227.1,377.78,19338,2610,51275,3.3,51302044,37532785,57.58145,0,37.69440453483686,5.0875165909568825,99.94728475146135,51.522955197702494,6.953920419174863,136.61389635754446,2
2014-11-01,8.5,3.6,14.2,70,55.9,0.0,0.0,178.4,259.95,17222,2009,46261,3.2,51314683,37546093,48.582499999999996,0,33.56154416855698,3.9150587756724526,90.15158487873734,45.8689536618364,5.3507564688554945,123.21122200384471,0
2014-12-01,-0.9,-5.5,4.1,62,25.5,0.0,0.0,192.9,239.52,17647,1950,46616,3.5,51327916,37552910,35.724779999999996,0,34.380901028594266,3.7991022273337576,90.81997406635406,46.99236357448731,5.1926734838924595,124.1341882692979,1
2015-01-01,0.2,-4.4,5.3,64,26.1,0.0,0.0,185.8,248.3,18255,2184,54479,3.7,51342881,37564180,36.99512,0,35.55507529855989,4.253754283870435,106.10818664422047,48.596828148518085,5.814049448171104,145.0291208273414,1
2015-02-01,1.7,-2.9,7.0,61,25.4,0.0,0.0,180.1,293.14,16032,2021,45098,4.3,51360454,37575479,39.559729999999995,0,31.21467734689417,3.9349340642510677,87.8068562244407,42.66612276586015,5.378507616629451,120.01976075940377,3
2015-03-01,6.5,0.1,13.3,52,41.7,0.0,0.0,264.9,497.1,19581,3048,54148,4.1,51378174,37587690,47.1164,0,38.11151404485492,5.932480200639283,105.39105574285298,52.094182962560346,8.109037825947803,144.0578019026974,1
2015-04-01,12.5,7.0,18.4,66,128.7,0.0,0.0,190.2,440.52,20497,3185,52057,4.0,51395238,37599181,54.6991,0,39.88112673006787,6.19707218789414,101.28759399849457,54.51448530221975,8.470929193909836,138.4524838453263,0
2015-05-01,18.4,12.0,25.0,59,57.6,0.4,0.0,286.7,654.72,23259,3774,55768,3.9,51413925,37607823,63.10733999999999,0,45.23871694292937,7.3404238248684575,108.46866875073242,61.846174930146844,10.035146144992225,148.2882962940982,2
2015-06-01,21.5,16.9,27.0,71,96.0,0.5,0.0,200.7,534.03,22848,3665,53957,4.0,51431100,37616943,68.18445,0,44.42448246294557,7.1260385253280605,104.91123075337684,60.738587928317294,9.742950138186403,143.4380247219983,1
2015-07-01,24.2,20.7,28.5,79,181.5,3.1,2.4,175.4,475.98,22693,3669,54184,3.8,51448183,37623114,72.98671999999999,0,44.108457630078014,7.131447188329275,105.31761636752069,60.31664470941985,9.751983846951106,144.01785030340656,0
2015-08-01,25.0,21.1,30.1,79,113.4,5.7,1.9,209.8,503.06,23595,3690,53672,3.6,51465228,37636988,74.2604,0,45.846488817653736,7.169889541730972,104.28788929099856,62.6909889813712,9.804185180812025,142.60439756762682,1
