지역명,일시,일조합(hr),일사합(MJ/m2)
전국, 2024-12,197.5,282.84
전국, 2024-11,170.8,291.44
전국, 2024-10,150.9,345.38
전국, 2024-09,176.8,453.73
전국, 2024-08,246.9,612.01
전국, 2024-07,140.4,479.76
전국, 2024-06,248.1,669.09
전국, 2024-05,269.6,696.86
전국, 2024-04,194.9,524.21
전국, 2024-03,201.3,463.95
전국, 2024-02,111,255.72
전국, 2024-01,174.9,283.2
전국, 2023-12,154.6,235.38
전국, 2023-11,184.5,299.42
전국, 2023-10,222.2,437.7
전국, 2023-09,161.6,433.67
전국, 2023-08,193.1,536.93
전국, 2023-07,147,495.27
전국, 2023-06,215.5,625.64
전국, 2023-05,218.4,605.44
전국, 2023-04,202.6,528.91
전국, 2023-03,236.4,517.56
전국, 2023-02,183.6,352.2
전국, 2023-01,198.8,305.34
전국, 2022-12,189.4,267.73
전국, 2022-11,195.2,307.62
전국, 2022-10,211.8,420.14
전국, 2022-09,180.9,468.07
전국, 2022-08,143.8,444.36
전국, 2022-07,182,558.33
전국, 2022-06,178.9,542.02
전국, 2022-05,304.4,754.45
전국, 2022-04,253.1,615.44
전국, 2022-03,190.3,438.18
전국, 2022-02,225.1,392.43
전국, 2022-01,216.3,320.4
전국, 2021-12,195.5,269.83
전국, 2021-11,191.7,291.62
전국, 2021-10,201.4,389.5
전국, 2021-09,158.6,415.15
전국, 2021-08,157.1,449.3
전국, 2021-07,228,613.43
전국, 2021-06,208.6,587.74
전국, 2021-05,212.5,572.51
전국, 2021-04,235.5,580.82
전국, 2021-03,215.5,474.67
전국, 2021-02,198.6,355.45
전국, 2021-01,191.2,286.82
전국, 2020-12,202.7,279.13
전국, 2020-11,185,292.99
전국, 2020-10,228.9,430.97
전국, 2020-09,172.3,427.78
전국, 2020-08,161.3,454.86
전국, 2020-07,116.3,429.16
전국, 2020-06,222.8,610.81
전국, 2020-05,222,613.61
전국, 2020-04,277,642.36
전국, 2020-03,247.9,529.72
전국, 2020-02,193.8,345.07
전국, 2020-01,157.1,254.55
전국, 2019-12,175.4,247.3
전국, 2019-11,186.9,294.58
전국, 2019-10,205.6,391.65
전국, 2019-09,147.9,390.66
전국, 2019-08,226.2,557.02
전국, 2019-07,171.9,504.2
전국, 2019-06,232.2,618.87
전국, 2019-05,299.3,725.8
전국, 2019-04,205.6,512.36
전국, 2019-03,225.2,475.63
전국, 2019-02,190,339.53
전국, 2019-01,218.2,308.35
전국, 2018-12,186.7,261.61
전국, 2018-11,181.5,282.75
전국, 2018-10,228,412.87
전국, 2018-09,171.9,427.27
전국, 2018-08,222,548.84
전국, 2018-07,249.2,599.9
전국, 2018-06,220.7,610.3
전국, 2018-05,210.7,566.61
전국, 2018-04,228.1,533.87
전국, 2018-03,207.8,425.79
전국, 2018-02,205.9,316.08
전국, 2018-01,197.8,256.07
전국, 2017-12,202.5,235.87
전국, 2017-11,206.9,264.36
전국, 2017-10,180.7,324.74
전국, 2017-09,217.5,447.66
전국, 2017-08,188.2,453.86
전국, 2017-07,148.4,430.31
전국, 2017-06,254.9,612.34
전국, 2017-05,284.4,638.23
전국, 2017-04,248.4,539.13
전국, 2017-03,229,455.98
전국, 2017-02,212.5,340.34
전국, 2017-01,204.1,272.47
전국, 2016-12,167.5,220.36
전국, 2016-11,170.3,250.66
전국, 2016-10,143.1,293.05
전국, 2016-09,140.4,344.57
전국, 2016-08,252.5,539.37
전국, 2016-07,183.1,475.3
전국, 2016-06,198,527.4
전국, 2016-05,269.5,624.33
전국, 2016-04,208.5,484.35
전국, 2016-03,221.6,443.82
전국, 2016-02,198.8,315.12
전국, 2016-01,182.4,251.47
전국, 2015-12,157.1,208.93
전국, 2015-11,96.2,176.23
전국, 2015-10,244.4,401.11
전국, 2015-09,221.3,460.04
전국, 2015-08,209.8,503.06
전국, 2015-07,175.4,475.98
전국, 2015-06,200.7,534.03
전국, 2015-05,286.7,654.72
전국, 2015-04,190.2,440.52
전국, 2015-03,264.9,497.1
전국, 2015-02,180.1,293.14
전국, 2015-01,185.8,248.3
전국, 2014-12,192.9,239.52
전국, 2014-11,178.4,259.95
전국, 2014-10,227.1,377.78
전국, 2014-09,201.8,432.4
전국, 2014-08,126.9,381.85
전국, 2014-07,182.3,504.77
전국, 2014-06,174,513.95
전국, 2014-05,293.2,692.19
전국, 2014-04,213.7,501.62
전국, 2014-03,213.4,426.18
전국, 2014-02,148.2,275.15
전국, 2014-01,203.1,266.98
