지역명,일시,평균습도(%rh),최저습도(%rh),
전국, 2024-12,60,8,
전국, 2024-11,72,1,
전국, 2024-10,79,19,
전국, 2024-09,80,25,
전국, 2024-08,78,16,
전국, 2024-07,83,29,
전국, 2024-06,70,8,
전국, 2024-05,67,6,
전국, 2024-04,68,5,
전국, 2024-03,62,4,
전국, 2024-02,76,8,
전국, 2024-01,67,5,
전국, 2023-12,70,4,
전국, 2023-11,65,6,
전국, 2023-10,72,14,
전국, 2023-09,81,11,
전국, 2023-08,81,32,
전국, 2023-07,85,25,
전국, 2023-06,75,15,
전국, 2023-05,69,8,
전국, 2023-04,62,1,
전국, 2023-03,55,1,
전국, 2023-02,60,3,
전국, 2023-01,63,2,
전국, 2022-12,62,6,
전국, 2022-11,68,2,
전국, 2022-10,73,9,
전국, 2022-09,77,13,
전국, 2022-08,83,23,
전국, 2022-07,81,23,
전국, 2022-06,76,2,
전국, 2022-05,57,1,
전국, 2022-04,60,1,
전국, 2022-03,65,1,
전국, 2022-02,52,1,
전국, 2022-01,57,1,
전국, 2021-12,64,2,
전국, 2021-11,70,6,
전국, 2021-10,76,10,
전국, 2021-09,80,9,
전국, 2021-08,82,25,
전국, 2021-07,80,22,
전국, 2021-06,77,13,
전국, 2021-05,71,2,
전국, 2021-04,59,1,
전국, 2021-03,67,3,
전국, 2021-02,58,2,
전국, 2021-01,63,4,
전국, 2020-12,60,3,
전국, 2020-11,65,6,
전국, 2020-10,69,8,
전국, 2020-09,80,22,
전국, 2020-08,85,17,
전국, 2020-07,86,25,
전국, 2020-06,75,14,
전국, 2020-05,72,8,
전국, 2020-04,55,2,
전국, 2020-03,60,1,
전국, 2020-02,67,5,
전국, 2020-01,68,9,
전국, 2019-12,66,6,
전국, 2019-11,69,7,
전국, 2019-10,75,15,
전국, 2019-09,81,17,
전국, 2019-08,78,22,
전국, 2019-07,79,14,
전국, 2019-06,73,12,
전국, 2019-05,57,4,
전국, 2019-04,62,2,
전국, 2019-03,59,2,
전국, 2019-02,57,1,
전국, 2019-01,54,1,
전국, 2018-12,59,3,
전국, 2018-11,70,2,
전국, 2018-10,72,11,
전국, 2018-09,77,16,
전국, 2018-08,76,20,
전국, 2018-07,77,24,
전국, 2018-06,71,13,
전국, 2018-05,71,10,
전국, 2018-04,63,1,
전국, 2018-03,67,3,
전국, 2018-02,50,1,
전국, 2018-01,58,3,
전국, 2017-12,58,2,
전국, 2017-11,61,6,
전국, 2017-10,74,10,
전국, 2017-09,75,1,
전국, 2017-08,80,12,
전국, 2017-07,83,20,
전국, 2017-06,66,8,
전국, 2017-05,60,1,
전국, 2017-04,59,0,고창
전국, 2017-03,57,5,
전국, 2017-02,56,3,
전국, 2017-01,61,2,
전국, 2016-12,66,5,
전국, 2016-11,68,3,
전국, 2016-10,77,8,
전국, 2016-09,81,17,
전국, 2016-08,75,18,
전국, 2016-07,82,25,
전국, 2016-06,74,4,
전국, 2016-05,63,5,
전국, 2016-04,64,5,
전국, 2016-03,59,1,
전국, 2016-02,58,5,
전국, 2016-01,61,1,
전국, 2015-12,69,1,
전국, 2015-11,80,8,
전국, 2015-10,69,6,
전국, 2015-09,74,10,
전국, 2015-08,79,21,
전국, 2015-07,79,9,
전국, 2015-06,71,9,
전국, 2015-05,59,3,
전국, 2015-04,66,3,
전국, 2015-03,52,2,
전국, 2015-02,61,7,
전국, 2015-01,64,6,
전국, 2014-12,62,9,
전국, 2014-11,70,10,
전국, 2014-10,73,6,
전국, 2014-09,77,2,
전국, 2014-08,83,25,
전국, 2014-07,78,16,
전국, 2014-06,74,14,
전국, 2014-05,60,9,
전국, 2014-04,59,1,
전국, 2014-03,61,6,
전국, 2014-02,63,5,
전국, 2014-01,58,4,
